name,link,salary,min_salary,max_salary,currency,city,main_link
Программист Linux,https://superjob.ru/vakansii/programmist-linux-34183164.html,"['100', '000', '—', '125', '000', 'руб.']",100000,—125,руб.,Москва,https://superjob.ru
Data Engineer,https://superjob.ru/vakansii/data-engineer-34099004.html,,,,,Москва,https://superjob.ru
DevOps/Linux-инженер,https://superjob.ru/vakansii/devops-34083636.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Разработчик Python,https://hh.ru/vacancy/38142885?query=python,,,,,Екатеринбург,https://hh.ru
"Backend-разработчик (Python, частичная занятость)",https://hh.ru/vacancy/38075098?query=python,,,,,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37706591?query=python,,,,,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37822262?query=python,,,,,Ижевск,https://hh.ru
Программист Python,https://hh.ru/vacancy/37836538?query=python,"['от', '80', '000', 'руб.']",80000,,руб.,Екатеринбург,https://hh.ru
Python developer,https://hh.ru/vacancy/38000496?query=python,,,,,Казань,https://hh.ru
Backend-разработчик / Python developer,https://hh.ru/vacancy/37641098?query=python,"['70', '000', '135', '000', 'руб.']",70000,135000,руб.,Москва,https://hh.ru
Backend Developer JS + Python (Django),https://hh.ru/vacancy/37961734?query=python,,,,,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37045645?query=python,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://hh.ru
Automation QA Engineer (Python),https://hh.ru/vacancy/37445343?query=python,"['до', '170', '000', 'руб.']",,170000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38037181?query=python,"['от', '45', '000', 'руб.']",45000,,руб.,Саранск,https://hh.ru
Senior Python Developer,https://hh.ru/vacancy/37996813?query=python,"['180', '000', '200', '000', 'руб.']",180000,200000,руб.,Москва,https://hh.ru
GIS Engineer / Python Developer,https://hh.ru/vacancy/37635703?query=python,"['60', '000', '80', '000', 'руб.']",60000,80000,руб.,Санкт-Петербург,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37748451?query=python,,,,,Москва,https://hh.ru
Разработчик на Python,https://hh.ru/vacancy/37993806?query=python,"['от', '40', '000', 'руб.']",40000,,руб.,Новосибирск,https://hh.ru
Python developer,https://hh.ru/vacancy/36497978?query=python,"['80', '000', '130', '000', 'руб.']",80000,130000,руб.,Новосибирск,https://hh.ru
Программист (Python),https://hh.ru/vacancy/37770204?query=python,,,,,Ижевск,https://hh.ru
Программист Python(Django),https://hh.ru/vacancy/38054244?query=python,,,,,Москва,https://hh.ru
Программист Python (Senior/TeamLead),https://hh.ru/vacancy/38081205?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Программист Python / С++,https://hh.ru/vacancy/37934710?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Москва,https://hh.ru
Django/Python Developer,https://hh.ru/vacancy/37968627?query=python,"['до', '130', '000', 'руб.']",,130000,руб.,Казань,https://hh.ru
Программист Python,https://hh.ru/vacancy/38128508?query=python,"['50', '000', '100', '000', 'руб.']",50000,100000,руб.,Воронеж,https://hh.ru
Python Developer,https://hh.ru/vacancy/38066375?query=python,,,,,Санкт-Петербург,https://hh.ru
Middle Python Developer,https://hh.ru/vacancy/38126300?query=python,"['до', '800', '000', 'KZT']",,800000,KZT,Алматы,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/36487148?query=python,,,,,Москва,https://hh.ru
Программист с знанием языка Python и C#,https://hh.ru/vacancy/38042345?query=python,"['80', '000', '110', '000', 'руб.']",80000,110000,руб.,Москва,https://hh.ru
Программист-разработчик Python/Django,https://hh.ru/vacancy/37836255?query=python,,,,,Москва,https://hh.ru
Python developer,https://hh.ru/vacancy/37609721?query=python,,,,,Москва,https://hh.ru
Python/Django разработчик,https://hh.ru/vacancy/37719390?query=python,"['от', '70', '000', 'руб.']",70000,,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37680105?query=python,,,,,Казань,https://hh.ru
Стажер-разработчик Python,https://hh.ru/vacancy/37994721?query=python,"['от', '45', '000', 'руб.']",45000,,руб.,Казань,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/37883010?query=python,,,,,Ростов-на-Дону,https://hh.ru
Middle/Senior python developer,https://hh.ru/vacancy/37312749?query=python,"['120', '000', '200', '000', 'руб.']",120000,200000,руб.,Москва,https://hh.ru
Python разработчик (backend),https://hh.ru/vacancy/38109909?query=python,,,,,Москва,https://hh.ru
Backend-разработчик / Python developer,https://hh.ru/vacancy/37957150?query=python,"['70', '000', '135', '000', 'руб.']",70000,135000,руб.,Воронеж,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37784877?query=python,,,,,Москва,https://hh.ru
Data Engineer (python),https://hh.ru/vacancy/38100716?query=python,,,,,Москва,https://hh.ru
